,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
855524,F20Q40105498,202406,0.0,"(0.102, 0.335]",FL,0.11624600470042477,0.0682040830186075
859494,F20Q40131536,202406,0.0,"(0.000616, 0.102]",FL,0.005060932271068541,0.0021245706107615213
876140,F20Q40237557,202406,0.0,"(0.000616, 0.102]",TX,0.0068356738005106235,0.0021245706107615213
877488,F20Q40246528,202406,0.0,"(0.102, 0.335]",FL,0.1444809109747523,0.0682040830186075
891429,F20Q40338791,202406,0.0,"(0.000616, 0.102]",IL,0.06274233186420934,0.0021245706107615213
900567,F20Q40402623,202406,0.0,"(0.000616, 0.102]",CA,0.024483025286394584,0.0021245706107615213
915390,F20Q40497035,202406,0.0,"(0.102, 0.335]",FL,0.14614995983041656,0.0682040830186075
915534,F20Q40497498,202406,0.0,"(0.000616, 0.102]",CA,0.019671554317821884,0.0021245706107615213
931809,F20Q40603313,202406,0.0,"(0.000616, 0.102]",FL,0.06721172331599717,0.0021245706107615213
943234,F20Q40685400,202406,0.0,"(0.000616, 0.102]",TX,0.010890963585845376,0.0021245706107615213
944497,F20Q40693767,202406,0.0,"(0.000616, 0.102]",TX,0.005956054508735567,0.0021245706107615213
958675,F20Q40778174,202406,0.0,"(0.000616, 0.102]",FL,0.056395261138778074,0.0021245706107615213
960383,F20Q40789459,202406,0.0,"(0.000616, 0.102]",TX,0.00898492179079361,0.0021245706107615213
963906,F20Q40812151,202406,0.0,"(0.000616, 0.102]",TX,0.013229491996653532,0.0021245706107615213
971248,F20Q40862148,202406,0.0,"(0.000616, 0.102]",IL,0.023715440801816482,0.0021245706107615213
972781,F20Q40870524,202406,0.0,"(0.000616, 0.102]",FL,0.044791164326110036,0.0021245706107615213
986361,F20Q40956748,202406,0.0,"(0.102, 0.335]",FL,0.12645096949866166,0.0682040830186075
987794,F20Q40964520,202406,0.0,"(0.000616, 0.102]",TX,0.015145495889589957,0.0021245706107615213
990723,F20Q40985124,202406,0.0,"(0.102, 0.335]",CA,0.13384546121516167,0.0682040830186075
1006556,F20Q41087962,202406,0.0,"(0.000616, 0.102]",CA,0.009779013873865563,0.0021245706107615213
1008949,F20Q41103102,202406,0.0,"(0.000616, 0.102]",IL,0.008800248081048864,0.0021245706107615213
1014093,F20Q41134503,202406,0.0,"(0.000616, 0.102]",FL,0.01653000864195575,0.0021245706107615213
1044345,F21Q11332700,202406,0.0,"(0.000616, 0.102]",CA,0.024711846088675077,0.0021245706107615213
1046160,F21Q11344582,202406,0.0,"(0.102, 0.335]",CA,0.1295560318710057,0.0682040830186075
